id,exec_id,buy_cl_order_id,sell_cl_order_id,exec_qty,exec_price,trade_time,market,security_id,buy_shareholder_id,sell_shareholder_id
1,7996219763A1,B177279961764049,S177279961803538,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
2,799621970E2F,B177279961765076,S177279961804138,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
3,799621971F7D,B177279961764848,S177279961803738,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
4,799621983497,B177279961764548,S177279961804038,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
5,79962198896A,B177279961764249,S177279961804238,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
6,79962200A31A,B177279961765329,S177279961807087,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
7,79962200C287,B177279961762942,S177279961804669,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
8,79962201C055,B177279961764949,S177279961806786,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
9,79962201C558,B177279961764750,S177279961806587,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
10,799622027564,B177279961764649,S177279961806386,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
11,799622020762,B177279961764149,S177279961807179,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
12,799622022DF7,B177279961764349,S177279961806487,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
13,799622024DA8,B177279961763849,S177279961806687,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
14,7996220294A7,B177279961765429,S177279961806986,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
15,799622036234,B177279961765229,S177279961806887,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
16,799622030EA1,B177279961764449,S177279961806206,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
17,7996220427DD,B177279961765783,S177279961806278,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
18,79962204CC33,B177279961765983,S177279961807278,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
19,799622047F5F,B177279961765683,S177279961806141,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
20,79962204EC45,B177279961766216,S177279961808010,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
21,799622108EB9,B177279961766342,S177279961816573,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
22,799622101466,B177279961766742,S177279961816573,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
23,79962210EA8E,B177279961765884,S177279961816573,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
24,799622100B5F,B177279961766641,S177279961816573,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
25,79962210736C,B177279961766083,S177279961816573,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
26,79962211D6A6,B177279961766842,S177279961817173,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
27,799622117A3A,B177279961766442,S177279961817173,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
28,7996221132EF,B177279961766541,S177279961817173,100,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
29,7996221134FB,B177279961808010,S177279961817173,200,10.02,2026-03-06 20:20:22,XSHG,600030,SH00000001,SH00000002
