id,cl_order_id,shareholder_id,market,security_id,side,qty,original_qty,price,status,create_time,version
1,B177279961764349,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
2,B177279961764548,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
3,B177279961765329,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
4,B177279961764848,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
5,B177279961762942,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
6,B177279961766541,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
7,B177279961764249,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
8,B177279961764750,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
9,B177279961765983,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
10,B177279961764449,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
11,B177279961766342,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
12,B177279961763849,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
13,B177279961765229,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
14,B177279961764049,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
15,B177279961765076,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
16,B177279961765884,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
17,B177279961765429,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
18,B177279961766083,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
19,B177279961764649,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
20,B177279961765683,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
21,B177279961766442,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
22,B177279961764149,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
23,B177279961764949,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
24,B177279961766742,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
25,B177279961766641,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
26,B177279961765783,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
27,B177279961766216,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
28,B177279961766842,SH00000001,XSHG,600030,B,0,100,10.02,6,2026-03-06 20:20:22,1
29,S177279961803538,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
31,S177279961804138,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
33,S177279961804238,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
35,S177279961804038,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
37,S177279961803738,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
39,S177279961807087,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
41,S177279961806786,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
43,S177279961806587,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
45,S177279961804669,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
47,S177279961806386,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
49,S177279961807179,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
51,S177279961806487,SH00000002,XSHG,600030,S,0,100,10.02,6,2026-03-06 20:20:22,0
